Player,Country,Matches,Innings,Not Outs,Runs,HS,Avg,BF,SR,100,50,0,4s,6s
A Nortje ,SA,2,3,0,11,7,3.66,49,22.44,0,0,0,1,0
Abdullah Shafique ,PAK,5,9,1,547,136*,68.37,1341,40.79,1,4,0,51,8
Abid Ali ,PAK,6,9,1,611,215*,76.37,1170,52.22,2,2,0,82,3
Abu Jayed ,BAN,3,4,1,8,8,2.66,29,27.58,0,0,2,2,0
AD Mathews ,SL,6,11,1,238,69*,23.8,445,53.48,0,1,0,19,9
AK Markram ,SA,7,13,0,213,60,16.38,452,47.12,0,1,1,36,0
AM Rahane ,INDIA,9,17,0,348,61,20.47,768,45.31,0,2,2,46,2
AR Patel ,INDIA,3,6,2,142,52,35.5,247,57.48,0,1,0,11,7
AS Joseph ,WI,5,6,0,99,29,16.5,239,41.42,0,0,0,10,3
AT Carey ,AUS,8,12,0,362,93,30.16,706,51.27,0,3,1,32,2
AY Patel ,NZ,3,5,4,27,20,27,68,39.7,0,0,0,4,0
AZ Lees ,ENG,3,6,0,126,31,21,460,27.39,0,0,0,13,0
Azhar Ali ,PAK,9,14,1,604,185,46.46,1386,43.57,2,2,2,66,6
B Muzarabani ,ZIM,3,6,2,59,30*,14.75,118,50,0,0,0,9,0
BA Stokes ,ENG,8,16,0,430,120,26.87,850,50.58,1,2,0,50,11
Babar Azam ,PAK,9,14,1,684,196,52.61,1466,46.65,1,5,1,77,4
BJ Watling ,NZ,2,3,1,17,15*,8.5,40,42.5,0,0,0,2,0
BKG Mendis ,SL,1,2,0,56,54,28,67,83.58,0,1,0,8,0
BOP Fernando ,SL,5,9,1,235,81,29.37,586,40.1,0,2,0,26,0
BRM Taylor ,ZIM,3,6,0,265,92,44.16,274,96.71,0,2,0,42,2
BT Foakes ,ENG,3,6,1,96,42,19.2,187,51.33,0,0,0,10,0
C de Grandhomme ,NZ,4,6,2,205,120*,51.25,279,73.47,1,0,1,21,4
C Green ,AUS,8,11,1,383,79,38.3,749,51.13,0,3,1,36,2
C Overton ,ENG,4,6,0,58,32,9.66,111,52.25,0,0,1,8,0
CA Pujara ,INDIA,10,20,1,469,91,24.68,1265,37.07,0,3,2,70,1
CBRLS Kumara ,SL,2,2,0,4,4,2,15,26.66,0,0,1,1,0
CR Woakes ,ENG,7,14,2,354,50,29.5,634,55.83,0,1,0,47,2
